Month,Average Players
February 2023,16331.67
January 2023,16353.77
December 2022,14037.72
November 2022,13300.14
October 2022,13587.67
September 2022,13081.17
August 2022,13807.91
July 2022,16161.99
June 2022,16266.59
May 2022,13749.38
April 2022,15362.73
March 2022,12653.96
February 2022,17885.64
January 2022,19679.33
December 2021,17003.84
November 2021,15780.55
October 2021,17133.01
September 2021,16778.49
August 2021,19317.74
July 2021,18759.61
June 2021,21282.80
May 2021,18979.04
April 2021,23377.61
March 2021,20190.13
February 2021,19912.28
January 2021,19150.22
December 2020,17804.64
November 2020,16956.13
October 2020,19102.69
September 2020,18863.60
August 2020,23369.40
July 2020,22006.60
June 2020,23003.48
May 2020,23395.42
April 2020,28467.65
March 2020,14755.91
February 2020,15738.70
January 2020,15416.94
December 2019,12472.22
November 2019,11531.79
October 2019,11160.97
September 2019,11994.90
August 2019,13323.98
July 2019,14606.19
June 2019,17569.08
May 2019,17805.96
April 2019,16138.11
March 2019,13616.49
February 2019,13429.59
January 2019,12408.40
December 2018,12020.54
November 2018,10897.08
October 2018,12914.51
September 2018,12422.64
August 2018,14577.76
July 2018,13578.24
June 2018,15447.39
May 2018,10573.30
April 2018,11408.31
March 2018,9980.34
February 2018,8965.69
January 2018,10271.40
December 2017,11648.26
November 2017,7829.17
October 2017,7780.48
September 2017,8171.30
August 2017,8097.48
July 2017,8378.74
June 2017,9914.64
May 2017,9234.00
April 2017,11266.26
March 2017,7429.58
February 2017,9579.08
January 2017,7684.02
December 2016,9664.39
November 2016,9037.45
October 2016,3230.06
September 2016,2311.95
August 2016,2993.41
July 2016,3286.39
June 2016,2818.71
May 2016,1652.68
April 2016,1881.40
March 2016,2424.92
February 2016,2523.94
January 2016,3870.33
December 2015,3271.00
November 2015,1584.89
October 2015,1656.53
September 2015,2348.28
August 2015,2377.30
July 2015,2706.88
June 2015,2149.18
May 2015,1911.55
April 2015,2457.01
March 2015,2122.42
February 2015,907.82
January 2015,1005.77
December 2014,843.54
November 2014,510.42
October 2014,631.03
September 2014,711.88
August 2014,1247.68
July 2014,1992.62
